game_id,game_date,team_id,team_name,goals_for,goals_against,shots_for,shots_against,faceoff_win_pct,power_play_pct,penalty_kill_pct,wins,losses,points,point_pct,team_shutouts,hits,blocked_shots,giveaways,takeaways,pims,powerPlayGoals
2025020065,,2,New York Islanders,4,2,25.0,33.0,0.431034,0.2,0.75,1,0,2,1.0,0,18,13,11,5,8,1
2025020065,,22,Edmonton Oilers,2,4,33.0,25.0,0.568965,0.25,0.8,0,1,0,0.0,0,7,13,17,5,10,1
2025020066,,4,Philadelphia Flyers,2,5,17.0,15.0,0.466666,0.0,0.0,0,1,0,0.0,0,15,16,16,4,2,0
2025020066,,52,Winnipeg Jets,5,2,15.0,17.0,0.533333,1.0,1.0,1,0,2,1.0,0,17,9,14,3,8,1
2025020067,,21,Colorado Avalanche,4,1,36.0,23.0,0.547169,0.0,1.0,1,0,2,1.0,0,13,14,19,6,4,0
2025020067,,29,Columbus Blue Jackets,1,4,23.0,36.0,0.45283,0.0,1.0,0,1,0,0.0,0,12,20,21,2,2,0
2025020068,,23,Vancouver Canucks,5,3,26.0,31.0,0.425925,0.666666,0.5,1,0,2,1.0,0,26,15,11,3,8,2
2025020068,,25,Dallas Stars,3,5,31.0,26.0,0.574074,0.5,0.333334,0,1,0,0.0,0,21,20,11,4,6,2
2025020069,,6,Boston Bruins,5,6,24.0,37.0,0.492957,0.333333,0.666667,0,1,0,0.0,0,26,20,14,5,12,1
2025020069,,54,Vegas Golden Knights,6,5,37.0,24.0,0.507042,0.333333,0.666667,1,0,2,1.0,0,20,22,13,3,6,2
2025020070,,12,Carolina Hurricanes,4,1,32.0,24.0,0.413793,0.333333,1.0,1,0,2,1.0,0,19,16,21,4,14,1
2025020070,,24,Anaheim Ducks,1,4,24.0,32.0,0.586206,0.0,0.666667,0,1,0,0.0,0,31,16,15,1,10,0
2025020071,,5,Pittsburgh Penguins,4,2,26.0,32.0,0.390243,0.5,1.0,1,0,2,1.0,0,13,15,15,0,4,1
2025020071,,26,Los Angeles Kings,2,4,32.0,26.0,0.609756,0.0,0.5,0,1,0,0.0,0,23,10,16,3,4,0
2025020072,,14,Tampa Bay Lightning,1,2,32.0,31.0,0.440677,0.0,1.0,0,0,1,0.5,0,20,13,15,4,6,0
2025020072,,17,Detroit Red Wings,2,1,31.0,32.0,0.559322,0.0,1.0,1,0,2,1.0,0,27,22,16,4,6,0
2025020073,,15,Washington Capitals,5,1,45.0,14.0,0.5,0.2,1.0,1,0,2,1.0,0,23,14,20,6,4,1
2025020073,,30,Minnesota Wild,1,5,14.0,45.0,0.5,0.0,0.8,0,1,0,0.0,0,18,17,13,1,10,0
2025020074,,16,Chicago Blackhawks,2,2,33.0,32.0,0.582089,0.333333,0.833334,0,0,1,0.5,0,19,10,13,6,12,1
2025020074,,23,Vancouver Canucks,2,2,32.0,33.0,0.41791,0.166666,0.666667,1,0,2,1.0,0,26,10,11,2,8,1
2025020075,,28,San Jose Sharks,3,6,21.0,34.0,0.489795,0.666666,0.75,0,1,0,0.0,0,25,12,17,7,18,2
2025020075,,68,Utah Mammoth,6,3,34.0,21.0,0.510204,0.25,0.333334,1,0,2,1.0,0,14,8,17,4,18,1
2025020076,,7,Buffalo Sabres,3,0,31.0,32.0,0.5,0.5,1.0,1,0,2,1.0,1,23,20,13,4,26,2
2025020076,,13,Florida Panthers,0,3,32.0,31.0,0.5,0.0,0.5,0,1,0,0.0,0,29,17,15,3,12,0
2025020077,,2,New York Islanders,5,4,23.0,32.0,0.480769,0.0,0.5,1,0,2,1.0,0,28,19,13,2,2,0
2025020077,,9,Ottawa Senators,4,5,32.0,23.0,0.51923,0.5,1.0,0,1,0,0.0,0,29,9,22,4,6,1
2025020078,,1,New Jersey Devils,5,3,23.0,30.0,0.42,0.333333,1.0,1,0,2,1.0,0,24,15,10,8,6,1
2025020078,,22,Edmonton Oilers,3,5,30.0,23.0,0.58,0.0,0.666667,0,1,0,0.0,0,20,13,23,4,6,0
2025020079,,10,Toronto Maple Leafs,3,4,30.0,28.0,0.618181,0.25,0.5,0,0,1,0.5,0,29,15,28,2,4,1
2025020079,,55,Seattle Kraken,4,3,28.0,30.0,0.381818,0.5,0.75,1,0,2,1.0,0,26,19,19,7,8,1
2025020080,,3,New York Rangers,4,3,22.0,24.0,0.482758,0.5,0.5,1,0,2,1.0,0,24,13,11,4,13,1
2025020080,,8,Montréal Canadiens,3,4,24.0,22.0,0.517241,0.5,0.5,0,1,0,0.0,0,16,11,13,4,13,1
2025020081,,4,Philadelphia Flyers,2,1,21.0,16.0,0.510638,0.0,1.0,1,0,2,1.0,0,32,16,15,4,9,0
2025020081,,30,Minnesota Wild,1,2,16.0,21.0,0.489361,0.0,1.0,0,0,1,0.5,0,19,15,14,1,9,0
2025020082,,14,Tampa Bay Lightning,2,3,24.0,31.0,0.428571,0.333333,1.0,0,1,0,0.0,0,14,15,21,3,13,1
2025020082,,29,Columbus Blue Jackets,3,2,31.0,24.0,0.571428,0.0,0.666667,1,0,2,1.0,0,23,18,18,3,17,0
2025020083,,19,St. Louis Blues,3,1,22.0,19.0,0.5,0.0,1.0,1,0,2,1.0,0,24,11,13,8,4,0
2025020083,,25,Dallas Stars,1,3,19.0,22.0,0.5,0.0,1.0,0,1,0,0.0,0,31,13,20,3,4,0
2025020084,,18,Nashville Predators,1,4,31.0,24.0,0.584905,0.0,0.333334,0,1,0,0.0,0,19,7,10,5,11,0
2025020084,,52,Winnipeg Jets,4,1,24.0,31.0,0.415094,0.666666,1.0,1,0,2,1.0,0,16,16,10,2,13,2
2025020085,,6,Boston Bruins,1,4,14.0,38.0,0.541666,0.0,1.0,0,1,0,0.0,0,24,29,18,1,10,0
2025020085,,21,Colorado Avalanche,4,1,38.0,14.0,0.458333,0.0,1.0,1,0,2,1.0,0,12,17,12,3,4,0
2025020086,,12,Carolina Hurricanes,4,3,40.0,28.0,0.621621,0.0,0.0,1,0,2,1.0,0,18,20,16,7,2,0
2025020086,,26,Los Angeles Kings,3,4,28.0,40.0,0.378378,1.0,1.0,0,0,1,0.5,0,29,20,21,4,6,1
2025020087,,20,Calgary Flames,1,6,27.0,28.0,0.490566,0.333333,0.0,0,1,0,0.0,0,22,10,14,2,16,1
2025020087,,54,Vegas Golden Knights,6,1,28.0,27.0,0.509433,1.0,0.666667,1,0,2,1.0,0,14,21,19,3,16,3
2025020088,,5,Pittsburgh Penguins,3,0,27.0,31.0,0.45,0.0,1.0,1,0,2,1.0,1,11,21,20,4,4,0
2025020088,,28,San Jose Sharks,0,3,31.0,27.0,0.55,0.0,1.0,0,1,0,0.0,0,25,14,15,5,2,0
2025020089,,15,Washington Capitals,3,4,31.0,24.0,0.549019,0.25,0.75,0,1,0,0.0,0,28,1,18,3,11,1
2025020089,,23,Vancouver Canucks,4,3,24.0,31.0,0.45098,0.25,0.75,1,0,2,1.0,0,22,23,17,5,13,1
2025020090,,17,Detroit Red Wings,4,2,25.0,18.0,0.565217,,1.0,1,0,2,1.0,0,24,11,16,4,2,0
2025020090,,22,Edmonton Oilers,2,4,18.0,25.0,0.434782,0.0,,0,1,0,0.0,0,19,21,19,3,0,0
2025020091,,16,Chicago Blackhawks,2,1,30.0,39.0,0.555555,0.0,0.8,1,0,2,1.0,0,26,12,18,5,10,0
2025020091,,24,Anaheim Ducks,1,2,39.0,30.0,0.444444,0.2,1.0,0,0,1,0.5,0,30,9,18,8,4,1
2025020092,,6,Boston Bruins,2,3,26.0,27.0,0.59322,0.25,0.8,0,1,0,0.0,0,24,19,18,8,17,1
2025020092,,68,Utah Mammoth,3,2,27.0,26.0,0.406779,0.2,0.75,1,0,2,1.0,0,23,21,19,3,15,1
2025020093,,3,New York Rangers,1,3,24.0,32.0,0.508771,0.0,1.0,0,1,0,0.0,0,34,21,9,2,6,0
2025020093,,30,Minnesota Wild,3,1,32.0,24.0,0.491228,0.0,1.0,1,0,2,1.0,0,20,19,11,3,2,0
2025020094,,4,Philadelphia Flyers,5,2,27.0,23.0,0.571428,0.5,0.833334,1,0,2,1.0,0,20,11,18,3,32,2
2025020094,,55,Seattle Kraken,2,5,23.0,27.0,0.428571,0.166666,0.5,0,1,0,0.0,0,23,11,16,4,28,1
2025020095,,7,Buffalo Sabres,2,4,32.0,32.0,0.436363,0.0,1.0,0,1,0,0.0,0,15,9,15,6,6,0
2025020095,,8,Montréal Canadiens,4,2,32.0,32.0,0.563636,0.0,1.0,1,0,2,1.0,0,22,21,11,3,6,0
2025020096,,20,Calgary Flames,1,2,33.0,27.0,0.355932,0.0,0.8,0,1,0,0.0,0,22,11,18,4,6,0
2025020096,,52,Winnipeg Jets,2,1,27.0,33.0,0.644067,0.2,1.0,1,0,2,1.0,0,15,19,19,3,10,1
2025020097,,12,Carolina Hurricanes,1,4,27.0,26.0,0.453125,0.0,1.0,0,1,0,0.0,0,15,18,12,1,8,0
2025020097,,54,Vegas Golden Knights,4,1,26.0,27.0,0.546875,0.0,1.0,1,0,2,1.0,0,13,20,18,2,8,0
2025020098,,1,New Jersey Devils,5,2,35.0,25.0,0.490909,0.5,1.0,1,0,2,1.0,0,21,17,25,6,11,1
2025020098,,10,Toronto Maple Leafs,2,5,25.0,35.0,0.50909,0.0,0.5,0,1,0,0.0,0,22,16,17,7,9,0
2025020099,,9,Ottawa Senators,2,3,21.0,25.0,0.590909,0.333333,0.333334,0,0,1,0.5,0,20,9,13,1,6,1
2025020099,,22,Edmonton Oilers,3,2,25.0,21.0,0.40909,0.666666,0.666667,1,0,2,1.0,0,20,17,17,5,6,2
2025020100,,2,New York Islanders,4,3,27.0,36.0,0.40909,0.666666,1.0,1,0,2,1.0,0,18,19,21,4,6,2
2025020100,,28,San Jose Sharks,3,4,36.0,27.0,0.590909,0.0,0.333334,0,1,0,0.0,0,22,6,21,4,6,0
2025020101,,5,Pittsburgh Penguins,5,1,26.0,24.0,0.672413,0.4,1.0,1,0,2,1.0,0,18,17,16,4,6,2
2025020101,,23,Vancouver Canucks,1,5,24.0,26.0,0.327586,0.0,0.6,0,1,0,0.0,0,26,20,19,2,8,0
