game_id,team_id,hits,blocked_shots,giveaways,takeaways,pims,powerPlayGoals
2025020746,25,15,18,16,6,6,1
2025020746,68,18,15,20,5,4,0
2025020747,2,15,16,15,6,4,1
2025020747,22,16,8,16,3,2,0
2025020748,10,17,14,18,5,6,1
2025020748,54,18,15,13,4,2,2
2025020749,17,14,17,11,5,2,1
2025020749,28,16,16,21,2,4,0
2025020750,12,30,8,20,8,17,4
2025020750,13,19,13,16,5,27,0
2025020751,14,12,10,17,3,4,2
2025020751,19,24,10,11,8,6,0
2025020752,18,16,12,16,5,4,1
2025020752,21,14,17,20,6,2,0
2025020753,24,21,18,16,5,6,0
2025020753,26,15,11,15,6,4,0
2025020754,7,21,16,10,3,15,1
2025020754,30,31,9,11,6,15,1
2025020755,3,26,21,17,3,4,1
2025020755,4,27,13,14,3,8,0
2025020756,2,25,16,9,4,6,0
2025020756,20,9,14,17,4,4,0
2025020757,55,13,18,13,5,4,0
2025020757,68,25,15,17,4,6,0
2025020758,8,28,24,14,5,8,2
2025020758,9,26,15,16,5,12,2
2025020759,1,22,15,18,2,2,1
2025020759,12,20,12,9,9,8,0
2025020760,5,17,14,14,3,6,0
2025020760,29,24,24,13,10,8,0
2025020761,13,22,8,15,9,4,1
2025020761,15,30,18,17,2,6,0
2025020762,10,21,11,23,5,6,0
2025020762,52,17,11,13,2,4,0
2025020763,6,18,11,16,8,2,1
2025020763,16,24,10,16,3,2,0
2025020764,22,15,7,13,5,2,1
2025020764,23,19,8,19,3,6,0
2025020765,18,14,16,16,7,4,1
2025020765,54,25,16,20,4,8,0
2025020766,24,30,22,10,3,17,0
2025020766,26,21,9,12,8,11,1
2025020767,14,21,14,17,6,6,0
2025020767,25,16,14,13,3,6,0
2025020768,9,24,10,11,4,12,2
2025020768,17,19,11,17,3,10,2
2025020769,19,20,6,12,5,6,0
2025020769,22,15,21,14,3,6,1
2025020770,7,25,12,19,6,8,0
2025020770,12,23,6,17,7,6,1
2025020771,15,14,24,14,7,14,1
2025020771,21,14,9,15,6,10,1
2025020772,5,23,10,18,6,6,0
2025020772,55,20,16,16,3,6,1
2025020773,13,22,13,15,5,19,0
2025020773,28,28,19,14,3,19,0
2025020774,10,23,15,11,5,6,1
2025020774,30,21,13,11,5,8,2
2025020775,4,15,17,18,3,14,0
2025020775,54,23,11,13,7,4,1
2025020776,16,13,16,14,4,4,0
2025020776,52,26,13,8,3,6,0
2025020777,1,16,11,15,4,8,0
2025020777,20,22,14,17,3,4,0
2025020778,2,17,17,12,4,4,1
2025020778,23,20,7,14,3,6,0
2025020779,3,20,14,18,5,6,2
2025020779,24,29,11,20,7,8,1
2025020780,8,18,12,16,5,8,0
2025020780,30,17,22,15,2,6,2
2025020781,14,13,14,15,1,0,0
2025020781,28,29,18,11,7,2,0
2025020782,9,15,14,15,6,8,0
2025020782,29,27,13,19,3,8,0
2025020783,6,35,17,16,3,11,1
2025020783,25,13,12,12,8,9,2
2025020784,7,17,19,15,4,6,0
2025020784,18,27,8,10,6,4,0
2025020785,19,20,12,16,5,6,1
2025020785,52,16,23,12,4,8,2
2025020786,1,14,12,10,4,11,0
2025020786,22,17,12,17,3,19,0
2025020787,3,24,21,14,2,6,0
2025020787,26,15,14,14,7,4,0
2025020788,10,22,16,15,4,4,0
2025020788,17,15,12,15,5,4,0
2025020789,21,16,15,24,7,2,0
2025020789,24,27,24,13,5,4,0
2025020790,4,25,18,19,5,11,2
2025020790,68,26,11,13,3,15,1
2025020791,5,17,17,16,6,2,0
2025020791,20,24,11,16,3,2,0
2025020792,15,18,14,15,5,10,2
2025020792,23,17,13,18,4,10,0
2025020793,2,7,6,9,4,6,1
2025020793,55,15,18,13,5,14,1
2025020794,6,19,20,13,9,15,2
2025020794,54,28,14,18,3,13,1
2025020795,7,26,18,9,5,10,0
2025020795,8,28,16,12,3,8,0
2025020796,12,29,6,13,4,7,0
2025020796,16,22,14,11,6,15,0
2025020797,25,7,10,14,5,2,0
2025020797,29,35,17,14,4,2,0
2025020798,9,16,11,13,4,12,0
2025020798,18,23,9,18,6,8,2
2025020799,13,27,14,14,1,10,0
2025020799,52,24,9,17,7,8,0
2025020800,5,13,10,17,4,4,0
2025020800,22,20,9,15,3,4,0
2025020801,17,15,18,14,4,8,1
2025020801,30,18,20,15,3,4,1
2025020802,10,21,8,14,2,2,0
2025020802,54,11,15,18,6,2,0
2025020803,14,18,10,16,4,9,0
2025020803,16,16,13,19,6,11,0
2025020804,19,26,10,8,8,10,1
2025020804,25,16,16,12,5,6,2
2025020805,4,21,21,23,5,8,1
2025020805,21,15,10,11,3,4,0
2025020806,15,17,22,18,3,16,0
2025020806,20,21,17,15,4,18,1
2025020807,1,17,15,11,2,4,2
2025020807,23,19,17,18,5,6,0
2025020808,3,18,11,13,3,14,0
2025020808,28,14,18,15,5,4,2
2025020809,24,25,10,10,2,4,1
2025020809,55,21,11,12,4,4,0
2025020810,2,24,13,16,5,6,0
2025020810,7,16,11,14,7,8,0
2025020811,18,29,13,13,4,4,1
2025020811,68,19,13,23,5,6,1
2025020812,6,21,14,17,2,11,3
2025020812,8,16,10,18,6,13,2
2025020813,9,34,14,13,8,8,0
2025020813,12,12,13,15,4,18,1
2025020814,14,22,9,19,5,6,1
2025020814,29,27,15,14,5,6,1
2025020815,17,22,14,14,6,2,0
2025020815,52,22,15,12,4,6,0
2025020816,19,20,20,12,3,11,1
2025020816,26,17,14,17,3,13,0
2025020817,13,17,15,13,3,17,2
2025020817,30,17,10,19,5,17,2
2025020818,15,8,17,16,5,10,1
2025020818,22,11,18,20,4,10,1
2025020819,10,28,16,14,6,4,1
2025020819,21,14,8,17,3,6,0
2025020820,1,13,16,16,3,23,2
2025020820,55,19,20,9,4,13,0
2025020821,9,34,18,9,3,2,0
2025020821,54,20,16,14,10,2,0
2025020822,5,27,14,18,2,4,0
2025020822,23,25,13,15,7,0,0
2025020823,13,25,5,14,7,6,0
2025020823,16,11,14,12,2,2,0
2025020824,20,28,18,20,3,4,1
2025020824,24,25,16,17,3,2,0
2025020825,14,18,20,10,3,17,2
2025020825,68,18,8,10,5,19,0
2025020826,3,34,12,12,5,2,0
2025020826,6,17,13,16,3,8,0
2025020827,2,15,11,11,7,8,1
2025020827,4,23,10,16,6,8,0
2025020828,26,25,13,18,4,8,0
2025020828,29,12,18,15,4,6,1
2025020829,22,13,10,19,6,8,1
2025020829,24,25,15,14,6,6,3
2025020830,6,25,11,19,4,10,0
2025020830,18,16,8,16,5,8,1
2025020831,7,16,19,23,5,0,1
2025020831,10,32,13,11,8,4,0
2025020832,8,24,18,8,5,6,0
2025020832,54,24,15,12,4,8,0
2025020833,17,11,15,15,6,6,0
2025020833,26,21,16,19,5,8,1
2025020834,13,31,7,15,4,10,0
2025020834,68,16,13,24,4,12,0
2025020835,1,14,11,11,5,4,1
2025020835,52,24,21,20,2,4,0
2025020836,19,43,16,13,5,6,0
2025020836,25,12,20,17,3,2,2
2025020837,16,10,5,13,6,2,0
2025020837,30,21,15,13,3,10,0
2025020838,23,30,18,14,7,15,1
2025020838,28,17,12,16,2,15,2
2025020839,15,17,16,20,3,13,1
2025020839,55,15,14,10,4,15,1
2025020840,4,21,18,9,5,4,0
2025020840,29,17,11,11,5,10,0
2025020841,9,31,10,13,8,0,0
2025020841,21,22,10,16,3,6,0
2025020842,2,23,16,15,3,6,2
2025020842,3,31,11,15,8,10,1
2025020843,4,36,17,17,4,8,1
2025020843,6,15,9,17,6,12,0
2025020844,7,9,13,16,6,28,1
2025020844,26,30,11,20,5,28,1
2025020845,8,22,21,14,6,6,1
2025020845,21,25,8,17,4,6,0
2025020846,15,26,22,6,4,6,0
2025020846,17,13,17,13,3,2,0
2025020847,14,18,9,17,4,6,0
2025020847,52,29,13,15,3,4,0
2025020848,1,27,19,16,6,4,0
2025020848,18,17,14,15,3,6,0
2025020849,2,16,17,11,3,8,0
2025020849,3,31,10,14,2,8,1
2025020850,5,18,12,17,8,8,0
2025020850,16,13,16,17,4,6,0
2025020851,12,23,8,17,6,4,2
2025020851,68,28,19,24,5,10,0
2025020852,13,17,8,11,4,19,2
2025020852,19,26,17,10,5,25,1
2025020853,20,16,17,18,6,9,0
2025020853,30,11,15,13,3,11,1
2025020854,22,24,8,14,3,6,0
2025020854,28,17,15,15,5,4,0
2025020855,23,10,13,11,1,6,0
2025020855,24,21,13,12,3,6,0
2025020856,25,29,23,19,8,2,0
2025020856,54,26,11,15,1,4,0
2025020857,10,20,9,18,5,4,1
2025020857,55,13,11,17,4,6,0
2025020858,16,13,15,16,3,4,0
2025020858,29,16,13,11,6,4,1
2025020859,4,29,16,18,4,2,1
2025020859,26,25,11,7,2,4,0
2025020860,17,16,14,13,4,6,0
2025020860,21,12,13,19,6,6,0
2025020861,3,26,10,12,2,12,1
2025020861,5,16,12,11,5,6,1
2025020862,13,30,7,9,4,8,0
2025020862,52,18,14,18,4,4,0
2025020863,20,21,18,9,5,10,1
