game_id,game_date,team_id,team_name,goals_for_avg5,goals_against_avg5,shots_for_avg5,shots_against_avg5,faceoff_win_pct_avg5,power_play_pct_avg5,penalty_kill_pct_avg5,hits_avg5,blocked_shots_avg5,giveaways_avg5,takeaways_avg5,pims_avg5,goals_for_avg10,goals_against_avg10,shots_for_avg10,shots_against_avg10,faceoff_win_pct_avg10,power_play_pct_avg10,penalty_kill_pct_avg10,hits_avg10,blocked_shots_avg10,giveaways_avg10,takeaways_avg10,pims_avg10
2025020077,,2,New York Islanders,2.75,3.75,33.25,29.0,0.49227125,0.21666649999999998,0.75416675,21.75,15.25,14.5,3.75,10.75,2.75,3.75,33.25,29.0,0.49227125,0.21666649999999998,0.75416675,21.75,15.25,14.5,3.75,10.75
2025020100,,2,New York Islanders,3.2,3.8,31.2,29.6,0.48997079999999993,0.1733332,0.7033334,23.0,16.0,14.2,3.4,9.0,3.2,3.8,31.2,29.6,0.48997079999999993,0.1733332,0.7033334,23.0,16.0,14.2,3.4,9.0
2025020115,,2,New York Islanders,3.4,3.6,29.2,31.2,0.4553710000000001,0.3066664,0.7833334,22.2,17.2,15.2,3.4,5.2,3.3333333333333335,3.6666666666666665,30.5,30.666666666666668,0.4764906666666667,0.2555553333333333,0.7527778333333334,22.166666666666668,16.5,15.333333333333334,3.5,8.5
2025020127,,2,New York Islanders,4.4,3.2,28.0,32.2,0.45954379999999995,0.1733332,0.7433334,18.4,17.2,13.4,4.0,10.8,3.857142857142857,3.4285714285714284,30.428571428571427,31.142857142857142,0.48634257142857146,0.21904742857142856,0.7595238571428571,21.0,17.285714285714285,14.571428571428571,3.857142857142857,11.857142857142858
2025020154,,2,New York Islanders,4.6,2.8,26.2,32.2,0.47508739999999994,0.1733332,0.7433334,20.4,16.6,14.0,4.0,13.6,3.75,3.375,29.875,30.5,0.489186,0.1916665,0.74791675,21.375,16.375,14.625,3.75,12.875
2025020171,,2,New York Islanders,4.2,3.4,28.2,30.0,0.4772526,0.13333319999999999,0.6933334,19.4,16.6,13.8,4.0,13.6,3.5555555555555554,3.5555555555555554,30.444444444444443,29.555555555555557,0.48392755555555556,0.1703702222222222,0.7203704444444444,20.444444444444443,16.0,14.11111111111111,3.888888888888889,12.333333333333334
2025020179,,2,New York Islanders,3.6,3.8,29.2,30.4,0.5037654,0.1833332,0.7933334000000001,19.8,15.4,14.6,4.0,14.4,3.4,3.8,30.2,30.0,0.49686810000000003,0.1783332,0.7483334,21.4,15.7,14.4,3.7,11.7
2025020195,,2,New York Islanders,3.4,3.4,28.4,27.8,0.5474374,0.05,0.7933334000000001,18.6,14.8,14.8,4.0,14.8,3.4,3.5,28.8,29.5,0.5014042,0.1783332,0.7883334000000001,20.4,16.0,15.0,3.7,10.0
2025020205,,2,New York Islanders,2.6,3.4,30.2,25.4,0.5745167999999999,0.15,0.8333334000000001,17.8,12.4,16.0,4.0,10.0,3.5,3.3,29.1,28.8,0.5170303,0.1616666,0.7883334,18.1,14.8,14.7,4.0,10.4
2025020228,,2,New York Islanders,2.6,3.4,31.6,25.6,0.5726988000000001,0.15,0.85,16.0,13.2,15.6,4.6,8.4,3.6,3.1,28.9,28.9,0.5238930999999999,0.1616666,0.7966667000000001,18.2,14.9,14.8,4.3,11.0
